zip,lat,lng,city,timezone
80910,38.81178,-104.7743,Colorado Springs,America/Denver
80911,38.75325,-104.71955,Colorado Springs,America/Denver
80913,38.70005,-104.76268,Colorado Springs,America/Denver
80914,38.82401,-104.70546,Colorado Springs,America/Denver
80915,38.85271,-104.71652,Colorado Springs,America/Denver
80916,38.80327,-104.71208,Colorado Springs,America/Denver
80917,38.88684,-104.74049,Colorado Springs,America/Denver
80918,38.91156,-104.78032,Colorado Springs,America/Denver
80919,38.92797,-104.88025,Colorado Springs,America/Denver
80920,38.95579,-104.77191,Colorado Springs,America/Denver
80921,39.02648,-104.88156,Colorado Springs,America/Denver
80922,38.88996,-104.70084,Colorado Springs,America/Denver
80923,38.92673,-104.71433,Colorado Springs,America/Denver
80924,38.96727,-104.72199,Colorado Springs,America/Denver
80925,38.76156,-104.64441,Colorado Springs,America/Denver
80926,38.64318,-104.92439,Colorado Springs,America/Denver
80927,38.92833,-104.65878,Colorado Springs,America/Denver
80928,38.64517,-104.44268,Colorado Springs,America/Denver
80929,38.82453,-104.60833,Colorado Springs,America/Denver
80930,38.80507,-104.50644,Colorado Springs,America/Denver
80938,38.90157,-104.65926,Colorado Springs,America/Denver
80939,38.87772,-104.67742,Colorado Springs,America/Denver
80951,38.88396,-104.6558,Colorado Springs,America/Denver
81001,38.29525,-104.5378,Pueblo,America/Denver
81003,38.27782,-104.65668,Pueblo,America/Denver
81004,38.05121,-104.71595,Pueblo,America/Denver
81005,38.21054,-104.84608,Pueblo,America/Denver
81006,38.24059,-104.47413,Pueblo,America/Denver
81007,38.35858,-104.78472,Pueblo,America/Denver
81008,38.40765,-104.59354,Pueblo,America/Denver
81019,37.94152,-104.83714,Colorado City,America/Denver
81020,37.43821,-104.6253,Aguilar,America/Denver
81021,38.43332,-103.36732,Arlington,America/Denver
81022,38.03279,-104.43768,Avondale,America/Denver
81023,38.06352,-104.92966,Beulah,America/Denver
81024,37.2293,-104.71162,Boncarbo,America/Denver
81025,38.34567,-104.26422,Boone,America/Denver
81027,37.24687,-103.72308,Branson,America/Denver
81029,37.08921,-102.48274,Campo,America/Denver
81030,38.10322,-103.51876,Cheraw,America/Denver
81033,38.19575,-103.85557,Crowley,America/Denver
81036,38.42984,-102.79292,Eads,America/Denver
81039,37.94079,-104.08615,Fowler,America/Denver
81040,37.79283,-105.2493,Gardner,America/Denver
